prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
786,MOB_SWA-1021,Apple Smartwatche Max,8161,M,2025-12-05,
787,DIS_TVS-1014,Samsung Television Lite,34565,D,2025-12-30,
788,MOB_SMP-1013,Oppo Smartphone Pro,28982,M,2025-12-08,
789,DIS_MON-1015,Samsung Monitor Max,,D,2025-12-30,
790,COM_LAP-1015,Apple Laptop Ultra,51947,C,2025-12-05,
791,MOB_TAB-1014,Lenovo Tablet Plus,25308,M,2025-12-25,
792,ACC_CAB-1021,Belkin Cable,52,A,2025-12-01,
793,COM_STR-1019,Kingston Storage (SSD/HDD) Lite,5195,C,2025-12-20,
794,ACC_PWB-1016,Xiaomi Power Bank Pro,1480,A,2025-12-04,
795,MOB_TAB-1015,Apple Tablet Plus,23437,M,2025-12-15,
796,MOB_SWA-1022,Samsung Smartwatche Plus,10576,M,2025-12-21,
797,ACC_PWB-1017,Baseus Power Bank Lite,888,A,2025-12-01,
798,GAM_ACC-1020,Logitech Gaming Accessorie,2006,G,2025-12-22,
799,MOB_SWA-1023,Amazfit Smartwatche Pro,9418,M,2025-12-26,
800,ACC_PWB-1018,Baseus Power Bank Pro,1899,A,2025-12-02,
828,DIS_TVS-1004,TCL Television,47260,D,2025-12-03,
829,COM_STR-1005,Adata Storage (SSD/HDD),4408,C,2025-12-21,
830,COM_LAP-1004,Dell Laptop Plus,56353,C,2025-12-13,
831,GAM_ACC-1013,Razer Gaming Accessorie Plus,1635,G,2025-12-02,
832,DIS_MON-1010,ViewSonic Monitor Max,13446,D,2025-12-22,
833,ACC_PWB-1013,Xiaomi Power Bank Plus,507,A,2025-12-12,
834,COM_MTB-1004,Gigabyte Motherboard Plus,11796,C,2025-12-25,
835,GAM_CTR-1001,Microsoft Controller Ultra,3059,G,2025-12-05,
836,COM_LAP-1007,Lenovo Laptop Lite,91965,C,2025-12-13,
837,DIS_TVS-1010,TCL Television Plus,33239,D,2025-12-09,
