prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
766,MOB_SWA-1020,Apple Smartwatche Pro,4859,M,2025-11-15,
767,ACC_PWB-1014,Baseus Power Bank,950,A,2025-11-30,
768,GAM_CON-1021,Microsoft Console Plus,21688,G,2025-11-20,
769,MOB_TAB-1013,Lenovo Tablet Pro,13303,M,2025-11-22,
770,DIS_MON-1013,Dell Monitor Max,7427,D,2025-11-19,
771,COM_DSK-1019,Custom Build Desktop Max,69418,C,2025-11-22,
772,DIS_MON-1014,LG Monitor,5276,D,2025-11-13,
773,GAM_CTR-1018,Microsoft Controller Ultra,3778,G,2025-11-24,
774,ACC_PWB-1015,Anker Power Bank Ultra,2034,A,2025-11-01,
775,GAM_ACC-1018,HyperX Gaming Accessorie Lite,1177,G,2025-11-25,
776,ACC_CAB-1019,Anker Cable Lite,120,A,2025-11-10,
777,COM_LAP-1014,Acer Laptop,,C,2025-11-11,
778,COM_DSK-1020,Lenovo Desktop Lite,16633,C,2025-11-23,
779,COM_MTB-1008,ASRock Motherboard Pro,8731,C,2025-11-24,
780,COM_GPU-1012,MSI Graphics Card,23673,C,2025-11-26,
781,ACC_CHG-1016,Anker Charger,639,A,2025-11-26,
782,ACC_CAB-1020,Anker Cable Max,397,A,2025-11-15,
783,ACC_CHG-1017,Belkin Charger Plus,1179,A,2025-11-06,
784,COM_RAM-1016,Corsair RAM Module Max,713,C,2025-11-28,
785,GAM_ACC-1019,Razer Gaming Accessorie Ultra,2413,G,2025-11-10,
816,COM_GPU-1010,MSI Graphics Card Lite,59287,C,2025-11-03,
817,COM_GPU-1008,MSI Graphics Card Plus,38002,C,2025-11-03,
818,ACC_CAS-1006,Generic Phone Case Pro,169,A,2025-11-27,
819,ACC_CAB-1015,Belkin Cable Lite,378,A,2025-11-10,
820,ACC_CAS-1014,UAG Phone Case Lite,555,A,2025-11-03,
821,COM_LAP-1012,ASUS Laptop,65756,C,2025-11-10,
822,GAM_CTR-1015,Razer Controller Max,3866,G,2025-11-20,
823,COM_LAP-1011,ASUS Laptop Max,47281,C,2025-11-06,
824,MOB_SMP-1008,Apple Smartphone Plus,14595,M,2025-11-12,
825,COM_GPU-1004,ASUS Graphics Card Max,28123,C,2025-11-24,
826,GAM_ACC-1017,HyperX Gaming Accessorie Ultra,3338,G,2025-11-12,
827,MOB_SWA-1020,Apple Smartwatche Pro,5363,M,2025-11-14,
