CID,REGION
EG-27923,cairo
EG-27954,Qalyubia
EG-27867,Gharbia
EG-27995,Gharbia
EG-27833,Alex
EG-27992,CAI
EG-27986,Alexandria
EG-27875,Monufia
EG-27868,Gharbia
EG-27960,Cairo
EG-27965,Cairo
EG-27971,El-Sharqia
EG-27876,CAI
EG-27913,
EG-27991,Sharqia
EG-27826,ALX
EG-27828,Alexandria
EG-27848,Sharqia
EG-27793,Mansoura Gov
EG-27916,Sharqia
EG-27751,Dakahlia
EG-27982,
EG-27750,
EG-27915,Monufia
EG-27900,Dakahlia
EG-27761,Mansoura Gov
EG-27770,Sharqia
EG-27977,
EG-27970,CAI
EG-27764,Gharbia
EG-27959,El-Sharqia
EG-27908,Dakahlia
EG-27901,Sharqia
EG-27840,Alexandria
EG-27889,Alexandria
EG-27946,ALX
EG-27844,CAI
EG-27979,Mansoura Gov
EG-27897,GZ
EG-27772,Alex
EG-27931,Mansoura Gov
EG-27777,Monufia
EG-27996,Alexandria
EG-27920,cairo
EG-27801,Monufia
EG-27788,Cairo
EG-27930,Mansoura Gov
EG-27786,Alexandria
EG-27872,Alexandria
EG-27978,Dakahlia
EG-27976,Gharbia
EG-27919,
EG-27917,Cairo
EG-27760,Qalyubia
EG-27803,Monufia
EG-27983,
EG-27890,Gharbia
EG-27819,Sharqia
EG-27865,Gharbia
EG-27885,Sharqia
EG-27937,Qalyubia
EG-27879,Monufia
EG-27762,
EG-27753,El-Sharqia
EG-27817,El-Sharqia
EG-27997,cairo
EG-27794,Monufia
EG-27921,Gharbia
EG-27815,ALX
EG-27963,Gharbia
EG-27951,ALX
EG-27768,Gharbia
EG-27933,Qalyubia
EG-27911,Dakahlia
EG-27851,Sharqia
EG-27987,Gharbia
EG-27869,
EG-27981,Gharbia
EG-27940,Mansoura Gov
EG-27962,Alex
EG-27863,Alex
EG-27922,CAI
EG-27763,Gharbia
EG-27939,Sharqia
EG-27903,Alexandria
EG-27947,Sharqia
EG-27766,Giza
EG-27838,Gharbia
EG-27821,ALX
EG-27860,Sharqia
EG-27846,Dakahlia
EG-27891,
EG-27759,Qalyoubia
EG-27874,
EG-27949,Giza
EG-27866,Qalyubia
EG-27989,ALX
EG-27935,CAI
EG-27795,Sharqia
EG-27842,Monufia
EG-27830,cairo
EG-27945,ALX
EG-27925,El-Sharqia
EG-27990,
EG-27771,GZ
EG-27853,Qalyubia
EG-27943,GZ
EG-27822,
EG-27862,Gharbia
EG-27880,
EG-27964,Monufia
EG-27829,
EG-27956,Alex
EG-27966,CAI
EG-27871,
EG-27796,Dakahlia
EG-27823,Qalyoubia
EG-27836,Qalyubia
EG-27877,Cairo
EG-27827,Gharbia
EG-27774,Monufia
EG-27961,El-Sharqia
EG-27818,
EG-27792,Gharbia
EG-27775,cairo
EG-27810,GZ
EG-27790,ALX
EG-27812,Gharbia
EG-27994,Sharqia
EG-27893,Dakahlia
EG-27854,Giza
EG-27934,Cairo
EG-27782,Alex
EG-27767,GZ
EG-27968,Dakahlia
EG-27798,Sharqia
EG-27864,Alexandria
EG-27758,Dakahlia
EG-27755,Mansoura Gov
EG-27984,El-Sharqia
EG-27870,Mansoura Gov
EG-27884,cairo
EG-27881,cairo
EG-27878,Gharbia
EG-27778,
EG-27837,cairo
EG-27780,Alex
EG-27972,Sharqia
EG-27858,Mansoura Gov
EG-27882,
EG-27894,CAI
EG-27825,Mansoura Gov
EG-27820,Gharbia
EG-27974,GZ
EG-27834,Dakahlia
EG-27839,Monufia
EG-27824,Mansoura Gov
EG-27932,Sharqia
EG-27807,Qalyubia
EG-27765,Mansoura Gov
EG-27811,Mansoura Gov
EG-27967,El-Sharqia
EG-27888,
EG-27883,Mansoura Gov
EG-27769,Sharqia
EG-27929,Qalyubia
EG-27941,Gharbia
EG-27907,El-Sharqia
EG-27998,Qalyoubia
EG-27841,ALX
EG-27950,Alexandria
EG-27938,cairo
EG-27787,Mansoura Gov
EG-27789,
EG-27973,GZ
EG-27776,Alex
EG-27800,Alex
EG-27802,Monufia
EG-27856,Alexandria
EG-27910,ALX
EG-27999,Gharbia
EG-27855,CAI
EG-27904,Gharbia
EG-27849,Dakahlia
EG-27799,Qalyoubia
EG-27957,Monufia
EG-27899,Cairo
EG-27892,Cairo
EG-27797,Alexandria
EG-27985,Sharqia
EG-27847,Sharqia
EG-27969,Alexandria
EG-27944,Dakahlia
EG-27804,Mansoura Gov
EG-27948,
EG-27873,Dakahlia
EG-27861,Sharqia
EG-27993,Cairo
EG-27898,Qalyubia
EG-27859,Qalyoubia
EG-27902,cairo
EG-27928,El-Sharqia
EG-27958,cairo
EG-27953,Qalyoubia
EG-27805,
EG-27835,El-Sharqia
EG-27895,
EG-27980,Sharqia
EG-27806,Mansoura Gov
EG-27779,
EG-27887,Dakahlia
EG-27781,
EG-27773,
EG-27905,Monufia
EG-27814,
EG-27757,Giza
EG-27896,Monufia
EG-27752,Gharbia
EG-27988,Mansoura Gov
EG-27813,Mansoura Gov
EG-27955,Giza
EG-27852,El-Sharqia
EG-27975,Qalyubia
EG-27924,Alexandria
EG-27952,cairo
EG-27843,
EG-27831,Mansoura Gov
EG-27857,Gharbia
EG-27942,Gharbia
EG-27791,El-Sharqia
EG-27886,Alexandria
EG-27784,Dakahlia
EG-27927,Sharqia
EG-27816,GZ
EG-27906,Dakahlia
EG-27754,Cairo
EG-27832,Monufia
EG-27914,Dakahlia
EG-27785,Cairo
EG-27926,CAI
EG-27809,Qalyubia
EG-27808,Qalyoubia
EG-27845,Cairo
EG-27936,CAI
EG-27850,Cairo
EG-27918,Qalyubia
