CID,REGION
EG-27305,Gharbia
EG-27188,El-Sharqia
EG-27049,Qalyubia
EG-27360,El-Sharqia
EG-27236,Alex
EG-27243,Monufia
EG-27182,Gharbia
EG-27354,Gharbia
EG-27198,Alexandria
EG-27191,Cairo
EG-27242,
EG-27367,Dakahlia
EG-27014,cairo
EG-27064,GZ
EG-27122,Monufia
EG-27042,GZ
EG-27203,Qalyubia
EG-27080,cairo
EG-27276,Alexandria
EG-27113,Monufia
EG-27345,Monufia
EG-27095,El-Sharqia
EG-27318,Alexandria
EG-27273,Qalyubia
EG-27336,Qalyoubia
EG-27116,Alex
EG-27054,GZ
EG-27357,Cairo
EG-27089,Dakahlia
EG-27125,Qalyubia
EG-27172,CAI
EG-27282,Mansoura Gov
EG-27349,Qalyubia
EG-27393,Alexandria
EG-27069,Dakahlia
EG-27024,ALX
EG-27277,Cairo
EG-27339,cairo
EG-27034,Mansoura Gov
EG-27035,Monufia
EG-27303,Gharbia
EG-27395,Dakahlia
EG-27314,
EG-27394,
EG-27173,Qalyoubia
EG-27011,Alexandria
EG-27251,Cairo
EG-27163,
EG-27281,Cairo
EG-27009,ALX
EG-27259,Dakahlia
EG-27398,Monufia
EG-27309,
EG-27304,
EG-27247,Mansoura Gov
EG-27120,
EG-27187,CAI
EG-27286,Qalyubia
EG-27266,GZ
EG-27071,Gharbia
EG-27142,ALX
EG-27327,Qalyoubia
EG-27150,Qalyubia
EG-27330,ALX
EG-27055,Gharbia
EG-27222,Alex
EG-27245,CAI
EG-27067,Alex
EG-27302,Qalyubia
EG-27328,cairo
EG-27257,Gharbia
EG-27361,Mansoura Gov
EG-27374,El-Sharqia
EG-27316,El-Sharqia
EG-27137,Dakahlia
EG-27019,Qalyoubia
EG-27171,Gharbia
EG-27338,Gharbia
EG-27180,
EG-27358,Monufia
EG-27092,Alex
EG-27386,GZ
EG-27165,Mansoura Gov
EG-27229,Dakahlia
EG-27147,El-Sharqia
EG-27073,Sharqia
EG-27102,Alexandria
EG-27200,Cairo
EG-27227,Qalyubia
EG-27186,Monufia
EG-27388,Qalyubia
EG-27010,CAI
EG-27181,GZ
EG-27352,Alex
EG-27086,El-Sharqia
EG-27018,Gharbia
EG-27130,
EG-27397,cairo
EG-27297,El-Sharqia
EG-27232,Gharbia
EG-27301,Alex
EG-27255,El-Sharqia
EG-27162,Cairo
EG-27239,Gharbia
EG-27214,Qalyubia
EG-27006,Sharqia
EG-27056,Giza
EG-27038,Qalyoubia
EG-27004,Monufia
EG-27329,El-Sharqia
EG-27343,Sharqia
EG-27076,Sharqia
EG-27278,
EG-27396,
EG-27146,
EG-27197,Alex
EG-27161,Monufia
EG-27157,Qalyubia
EG-27002,cairo
EG-27072,Sharqia
EG-27033,Mansoura Gov
EG-27194,
EG-27036,Qalyoubia
EG-27141,Alex
EG-27344,Giza
EG-27241,CAI
EG-27392,ALX
EG-27050,Monufia
EG-27093,Sharqia
EG-27189,Gharbia
EG-27284,Gharbia
EG-27348,
EG-27075,Sharqia
EG-27160,Qalyubia
EG-27218,
EG-27109,Alex
EG-27040,Gharbia
EG-27252,
EG-27211,Qalyoubia
EG-27059,Sharqia
EG-27383,Qalyubia
EG-27262,Dakahlia
EG-27158,El-Sharqia
EG-27045,Cairo
EG-27135,cairo
EG-27132,cairo
EG-27235,Mansoura Gov
EG-27260,Alex
EG-27025,Qalyubia
EG-27085,CAI
EG-27117,Cairo
EG-27295,Sharqia
EG-27129,ALX
EG-27021,Monufia
EG-27261,Monufia
EG-27183,Giza
EG-27091,CAI
EG-27289,Alexandria
EG-27342,Qalyubia
EG-27106,Monufia
EG-27015,CAI
EG-27212,Qalyoubia
EG-27101,Sharqia
EG-27079,Gharbia
EG-27377,Cairo
